name,inhoud,image,Review
Travelin' Aborg - Dames Wandelschoenen - Waterdicht en ademend - Donkergrijs leer - Maat 43,"Geschreven bij Travelin' Aborg - Dames Wandelschoenen - Waterdicht en ademend - Bruin leer - Maat 40
Dit is een stevige smalle wandelschoen waarin mijn voet en enkel goed gesteund worden.  Het eerste kwartier had ik wat last van de stevige tong aan mijn scheenbeen maar door het gebruik ging dit snel over.  Ik heb er de eerste keer al een wandeling van 15 km mee kunnen doen zonder pijn of blaren.Het is ook best een lichte schoen, hij ziet er veel robuuster uit.  Ik ben blij met deze aankoop.",https://media.s-bol.com/gMpwOG1xBLjY/089J195/550x414.jpg,['5']
Salomon XA PRO 3D GTX v8 Wandelschoenen Heren,"Geschreven bij Salomon XA PRO 3D GTX v8 Wandelschoenen Heren - Zwart - Maat 44
Goede schoen, maar na ruim een jaar laten het voorste deel van zool van beide schoenen los",https://media.s-bol.com/kow8KNE990KJ/550x282.jpg,['3']
Salomon XA PRO 3D GTX v8 Wandelschoenen Heren,"Geschreven bij Salomon XA PRO 3D v8 GTX Wandelschoenen Heren - Urban Chic/Zwart/Lime Punc - Maat 46 2/3
Zitten best prima",https://media.s-bol.com/kow8KNE990KJ/550x282.jpg,['3']
Salomon XA PRO 3D GTX v8 Wandelschoenen Heren,"Geschreven bij Salomon XA PRO 3D GTX v8 Wandelschoenen Heren - Zwart - Maat 42
wandelen gaat perfect met deze schoenen",https://media.s-bol.com/kow8KNE990KJ/550x282.jpg,['3']
Salomon XA PRO 3D GTX v8 Wandelschoenen Heren,Niet kopen. Ze zitten veel te goed.,https://media.s-bol.com/kow8KNE990KJ/550x282.jpg,['3']
Salomon XA PRO 3D GTX v8 Wandelschoenen Heren,"Geschreven bij Salomon XA PRO 3D GTX v8 Wandelschoenen Heren - Zwart - Maat 43 1/3
Zeer goeie kwaliteit",https://media.s-bol.com/kow8KNE990KJ/550x282.jpg,['3']
Salomon XA PRO 3D GTX v8 Wandelschoenen Heren,"Geschreven bij Salomon XA PRO 3D GTX v8 Wandelschoenen Heren - Zwart - Maat 42 2/3
Ik heb deze schoenen pas een dag, maar nu al dik tevreden. Ik draag normaal gesproken 42 en heb hiervan 42 2/3 (!) besteld. Zit prima.",https://media.s-bol.com/kow8KNE990KJ/550x282.jpg,['3']
Meindl Borneo,"Geschreven bij Meindl borneo ii mfs- 8.
Twee pluspunten: voldoet aan verwachting en goede kwaliteit.",https://media.s-bol.com/o773rpj54mqA/qx8Npk/550x521.jpg,['5']
Teva M Ridgeview Wandelschoenen Heren,"Geschreven bij Teva M Ridgeview Low Wandelschoenen Heren - Zwart - Maat 45.5
Na ontvangst elke dag gedragen",https://media.s-bol.com/DEJgGwxQWlny/vllpvL/550x304.jpg,['5']
Bogota Lady Mid Gtx - Kleur Blauw,"Lopen lekker, geen blaar gehad.",https://media.s-bol.com/3OOznB63JAY9/MX5rgA/550x454.jpg,['5']
